Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","1575AT43A0040E","1575AT43A0040E",114.362000,-81.330000,0.000000,top
"ANT2","A10340","A10340",83.370000,-75.260000,90.000000,top
"C1","100nf","CP_EIA-1608-08_AVX-J",112.522000,-65.786000,90.000000,top
"C4","21p","CP_EIA-1608-08_AVX-J",98.298000,-67.514500,90.000000,top
"C5","21p","CP_EIA-1608-08_AVX-J",116.300000,-74.637500,90.000000,top
"C6","1u","CP_EIA-1608-08_AVX-J",88.025000,-65.460000,0.000000,top
"C7","1u","CP_EIA-1608-08_AVX-J",100.076000,-67.514500,90.000000,top
"C8","0.1u","CP_EIA-1608-08_AVX-J",87.950000,-62.000000,0.000000,top
"C8","0.1u","CP_EIA-1608-08_AVX-J",111.600000,-76.250000,180.000000,top
"C9","0.5p","CP_EIA-1608-08_AVX-J",95.222500,-57.870000,0.000000,top
"C9","0.5p","CP_EIA-1608-08_AVX-J",114.350000,-74.687500,-90.000000,top
"C10","4.7u","CP_EIA-1608-08_AVX-J",95.240000,-63.230000,180.000000,top
"C10","4.7u","CP_EIA-1608-08_AVX-J",111.647500,-72.652000,0.000000,top
"C11","1u","CP_EIA-1608-08_AVX-J",111.647500,-74.430000,0.000000,top
"C11","1u","CP_EIA-1608-08_AVX-J",95.292500,-64.970000,0.000000,top
"C12","100n","CP_EIA-1608-08_AVX-J",101.346000,-69.850000,180.000000,top
"C13","470nF","CP_EIA-1608-08_AVX-J",103.632000,-66.040000,-90.000000,top
"C14","470nf","CP_EIA-1608-08_AVX-J",116.300000,-70.862500,-90.000000,top
"C15","1u","CP_EIA-1608-08_AVX-J",87.992500,-63.710000,180.000000,top
"C16","100nF","CP_EIA-1608-08_AVX-J",103.124000,-62.738000,-90.000000,top
"C17","100nf","CP_EIA-1608-08_AVX-J",107.085000,-61.990000,0.000000,top
"C18","100nF","CP_EIA-1608-08_AVX-J",119.126000,-55.372000,-90.000000,top
"C19","470nF","CP_EIA-1608-08_AVX-J",117.348000,-55.372000,-90.000000,top
"C20","470nF","CP_EIA-1608-08_AVX-J",92.480000,-59.327500,90.000000,top
"C21","470nF","CP_EIA-1608-08_AVX-J",103.632000,-69.088000,90.000000,top
"C22","100nF","CP_EIA-1608-08_AVX-J",92.260000,-62.557500,-90.000000,top
"C23","470nF","CP_EIA-1608-08_AVX-J",101.854000,-67.564000,90.000000,top
"C24","100n","CP_EIA-1608-08_AVX-J",91.332500,-65.080000,0.000000,top
"C25","470nF","CP_EIA-1608-08_AVX-J",90.530000,-62.577500,90.000000,top
"C26","470nF","CP_EIA-1608-08_AVX-J",95.272500,-61.430000,0.000000,top
"C27","1n","CP_EIA-1608-08_AVX-J",95.212500,-59.650000,0.000000,top
"D2","RED","LED_D3.0mm",98.547000,-63.754000,0.000000,top
"IC2","TL081HIDBVR","SOT95P280X145-5N",86.950000,-68.650000,90.000000,top
"IC3","SX1268","QFN50P400X400X100-25N-D",111.272000,-59.608000,90.000000,top
"IC4","PE4259","SOT65P210X110-6N",93.450000,-55.200000,0.000000,top
"IC5","TL081HIDBVR","SOT95P280X145-5N",90.650000,-68.650000,90.000000,top
"IC6","74LVC2G00","74AVC9112GTX",94.825000,-68.600000,90.000000,top
"J1","DX07S016JA1R1500","JAE_DX07S016JA1R1500",102.420000,-55.340000,0.000000,top
"L1","0.6nH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",115.450000,-65.810000,90.000000,top
"L2","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",118.300000,-65.810000,90.000000,top
"L3","15uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",111.130000,-78.720000,0.000000,top
"L4","15uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",121.500000,-63.810000,90.000000,top
"L5","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",119.000000,-68.290000,-90.000000,top
"L6","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",80.650000,-69.810000,90.000000,top
"L7","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",122.100000,-66.140000,-90.000000,top
"L8","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",83.550000,-69.810000,90.000000,top
"R1","100R","R_0201_0603Metric",104.810000,-61.940000,90.000000,top
"R2","5k","R_0201_0603Metric",107.950000,-57.150000,90.000000,top
"R3","100R","R_0201_0603Metric",112.450000,-62.750000,0.000000,top
"R4","1k","R_0201_0603Metric",108.712000,-55.626000,-90.000000,top
"R5","2k","R_0201_0603Metric",107.950000,-54.011000,90.000000,top
"R6","50k","R_0201_0603Metric",108.712000,-54.102000,90.000000,top
"R7","1k5","R_0201_0603Metric",95.850000,-56.000000,-90.000000,top
"R8","5k","R_0201_0603Metric",96.750000,-56.000000,90.000000,top
"R9","100k","R_0201_0603Metric",109.680000,-55.670000,90.000000,top
"R10","470k","R_0201_0603Metric",109.474000,-54.102000,90.000000,top
"R11","100k","R_0201_0603Metric",107.950000,-55.717000,-90.000000,top
"R12","100R","R_0201_0603Metric",107.950000,-58.837000,90.000000,top
"R14","100k","R_0201_0603Metric",95.850000,-54.450000,90.000000,top
"R15","100k","R_0201_0603Metric",92.790000,-57.350000,180.000000,top
"R16","470k","R_0201_0603Metric",96.750000,-54.420000,-90.000000,top
"STA8090FG","STA8090FG","BGA99C50P9X11_500X600X120",107.990000,-66.870000,0.000000,top
"U2","SKY65404","Skyworks_SKY65404-31",116.332000,-68.072000,0.000000,top
"U3","LT1963AxST-1.8","SOT-223-3_TabPin2",87.080000,-57.380000,0.000000,top
"U4","BQ24092","DGQ0010D_NV_N",113.240000,-55.120000,0.000000,top
"Y2","Crystal","FC12M327680KDA0",113.284000,-69.596000,90.000000,top
